tu_id,va,order,flag,tier,size,file,evidence
tu_040,0x1003A420,3,O2,cpp,341,src/core/cpp/0x1003A420.cpp,0x10077624 0x10077630 0x10077634 0x10077638 0x1007763C
tu_040,0x1003A580,4,O2,cpp,322,src/core/cpp/0x1003A580.cpp,0x10077624 0x10077630 0x10077634 0x10077638 0x1007763C
tu_040,0x1003A6D0,5,O2,cpp,322,src/core/cpp/0x1003A6D0.cpp,0x10077624 0x10077630 0x10077634 0x10077638 0x1007763C
tu_040,0x10041130,6,O2,T4,38,src/core/menus/br_uiscreen.c,0x10077640 0x10077644
tu_040,0x100425E0,7,O2,cpp,2659,src/core/cpp/0x100425E0.cpp,0x10077648 0x1007764C 0x10077650 0x10077654 0x10077658 0x1007765C
tu_040,0x10043050,8,O2,cpp,794,src/core/cpp/0x10043050.cpp,0x1007765C
tu_040,0x10043370,9,O2,cpp,800,src/core/cpp/0x10043370.cpp,0x10077648
tu_040,0x10043690,10,O2,cpp,800,src/core/cpp/0x10043690.cpp,0x10077648
tu_040,0x100439B0,11,O2,cpp,3746,src/core/cpp/0x100439B0.cpp,0x10077648 0x1007764C 0x10077650 0x10077654 0x1007765C 0x10077660 0x10077664
tu_040,0x10044860,12,O2,cpp,2439,src/core/cpp/0x10044860.cpp,0x10077648 0x10077650 0x1007765C
tu_040,0x100451F0,13,O2,cpp,1749,src/core/cpp/0x100451F0.cpp,0x10077648 0x1007764C 0x10077650 0x1007765C
tu_040,0x100458D0,14,O2,cpp,1565,src/core/cpp/0x100458D0.cpp,0x10077648 0x1007764C 0x1007765C
tu_040,0x10045EF0,15,O2,cpp,1834,src/core/cpp/0x10045EF0.cpp,0x10077658 0x1007765C
tu_040,0x10046620,16,O2,cpp,908,src/core/cpp/0x10046620.cpp,0x1007765C
tu_040,0x100469B0,17,O2,cpp,1210,src/core/cpp/0x100469B0.cpp,0x10077658 0x1007765C
tu_040,0x10046E70,18,O2,cpp,2114,src/core/cpp/0x10046E70.cpp,0x10077654 0x10077658 0x1007765C 0x1007766C
tu_040,0x100476E0,19,O2,cpp,2679,src/core/cpp/0x100476E0.cpp,0x10077648 0x1007764C 0x10077650 0x1007765C
tu_040,0x10048160,20,O2,cpp,1091,src/core/cpp/0x10048160.cpp,0x10077648 0x1007765C
tu_040,0x100485B0,21,O2,cpp,2389,src/core/cpp/0x100485B0.cpp,0x10077654 0x10077658 0x1007765C
tu_040,0x10048F10,22,O2,cpp,2433,src/core/cpp/0x10048F10.cpp,0x10077658 0x1007765C
tu_040,0x100498A0,23,O2,T3,3993,src/core/cpp/0x100498A0.cpp,0x10077658 0x1007765C 0x10077664
tu_040,0x1004ABE0,24,O2,cpp,760,src/core/cpp/0x1004ABE0.cpp,0x10077628 0x10077670
tu_040,0x1004AEE0,25,O2,T3,3862,src/core/slice6_72.c,0x10077648 0x10077658 0x1007765C 0x10077664 0x10077668
tu_040,0x1004BE00,26,O2,T3,3475,src/core/cpp/0x1004BE00.cpp,0x10077648 0x1007764C 0x10077650 0x10077658 0x10077664
tu_040,0x1004CBA0,27,O2,T3,3671,src/core/cpp/0x1004CBA0.cpp,0x10077658 0x1007765C 0x10077664
tu_040,0x1004DA00,28,O2,T3,3394,src/core/slice6_73.c,0x10077658 0x1007765C 0x10077664
tu_040,0x1004E750,29,O2,cpp,2877,src/core/cpp/0x1004E750.cpp,0x10077648 0x1007764C 0x1007765C
tu_040,0x1004F290,30,O2,cpp,1570,src/core/cpp/0x1004F290.cpp,0x10077658 0x1007765C
tu_040,0x1004F8C0,31,O2,cpp,1498,src/core/cpp/0x1004F8C0.cpp,0x10077658 0x1007765C
tu_040,0x1004FEA0,32,O2,cpp,1532,src/core/cpp/0x1004FEA0.cpp,0x10077650 0x10077654 0x10077658 0x1007765C
tu_040,0x100504A0,33,O2,cpp,1558,src/core/cpp/0x100504A0.cpp,0x10077658 0x1007765C
tu_040,0x10050AC0,34,O2,cpp,2701,src/core/cpp/0x10050AC0.cpp,0x10077648 0x1007764C 0x10077650 0x10077658 0x1007765C
tu_040,0x10051600,35,O2,cpp,4109,src/core/cpp/0x10051600.cpp,0x10077648 0x1007764C 0x10077650 0x10077654 0x10077658 0x1007765C 0x10077660
tu_040,0x10052610,36,O2,cpp,1091,src/core/cpp/0x10052610.cpp,0x10077648 0x1007765C
tu_040,0x10052A60,37,O2,cpp,2863,src/core/cpp/0x10052A60.cpp,0x1007765C 0x10077660
tu_040,0x10053590,38,O2,cpp,1932,src/core/cpp/0x10053590.cpp,0x10077658
tu_040,0x10054020,39,O2,T4,80,src/core/menus/br_textbox.c,0x10077640
tu_041,0x100540D0,0,,cpp,212,src/core/cpp/0x100540D0.cpp,0x10077674
tu_041,0x100541B0,1,,cpp,196,src/core/cpp/0x100541B0.cpp,0x10077674
tu_041,0x10054280,2,,cpp,219,src/core/cpp/0x10054280.cpp,0x10077674
tu_042,0x10054730,0,,cpp,618,src/core/cpp/0x10054730.cpp,0x10077678
tu_043,0x100553B0,0,,cpp,1453,src/core/cpp/0x100553B0.cpp,0x1007767C
tu_044,0x10059820,0,O2,T4,554,src/core/net/br_carnet.c,0x1007776C 0x10077770 0x10077774
tu_044,0x10059A80,1,O2,T2,673,src/core/driving/br_carghostapply.c,0x10077770 0x10077778
tu_045,0x1005A7A0,0,O2,T1,1206,,0x10077780 0x10077784 0x10077788
tu_045,0x1005ACE0,1,O2,T2,776,src/core/driving/br_carwheelsteer.c,0x1007778C 0x10077790 0x10077794
tu_045,0x1005AFF0,2,O2,T2,3210,src/core/driving/br_ctlinput.c,0x10077780 0x10077784 0x10077788 0x10077798 0x1007779C 0x100777A0 0x100777A4 0x100777A8 0x100777AC 0x100777B8 0x100777C0 0x100777C8 0x100777D0 0x100777E4 0x100777E8 0x100777EC 0x100777F0 0x100777F4 0x100777F8 0x100777FC 0x10077800 0x10077804 0x10077810 0x10077818 0x1007781C 0x10077820 0x10077828 0x10077830 0x10077834 0x10077838 0x1007783C 0x10077840 0x10077844 0x1007784C 0x10077850 0x10077854 0x10077858 0x1007785C 0x10077860 0x10077864 0x10077868 0x1007786C 0x10077870 0x10077874 0x10077878 0x1007787C 0x10077880 0x10077884 0x10077888
tu_045,0x1005BCC0,3,O2,T2,1909,src/core/driving/br_carctor.c,0x10077864 0x1007788C 0x10077890
