glide_va,name,module,basis,file
0x10029290,BrTexSizeFromShiftAspect,drawing,filed,src/core/drawing/br_tex3d.c
0x100293D0,br_tex3d_end,drawing,filed,src/core/drawing/br_tex3d.c
0x100293F0,BrTexTileUnpack,drawing,filed,src/core/drawing/br_tex3d.c
0x100294F0,BrGbiTexScanLoadSync,drawing,filed,src/core/drawing/br_gbitexscan.c
0x10029570,BrGbiTexScanPipeSync,drawing,filed,src/core/drawing/br_gbitexscan.c
0x10029590,BrGbiTexScanTileSync,drawing,filed,src/core/drawing/br_gbitexscan.c
0x100295B0,BrGbiTexScanSetTile,drawing,neighbour,src/core/drawing/br_gbitexscan.c
0x100296B0,BrGbiTexScanSetTileSize,drawing,neighbour,src/core/drawing/br_gbitexscan.c
0x10029780,BrGbiTexScanOtherModeH,drawing,filed,src/core/drawing/br_gbitexscan.c
0x100297C0,BrGbiTexScanOtherModeH0E,drawing,filed,src/core/drawing/br_gbitexscan.c
0x100297F0,BrGbiTexCreate,drawing,neighbour,src/core/drawing/br_gbitexscan.c
0x100298C0,FUN_100298c0,drawing,filed,src/core/drawing/br_tex3d.c
0x10029B10,BrTexChooseLevel,drawing,filed,src/core/drawing/br_texinit.c
0x10029C70,BrGbiSolidTexBuild,drawing,neighbour,src/core/drawing/br_gbitexscan.c
0x10029E50,BrGuMtxStore,drawing,filed,src/core/drawing/br_drawcar.c
0x10029E80,BrMat4IdentityLocal,scene,manual,src/core/scene/br_entity.c
0x1002A490,FUN_1002a490,drawing,neighbour-1,src/core/drawing/br_light.c
0x1002A4D0,BrLightDirsFromLookAt,drawing,description,src/core/drawing/br_light.c
0x1002A7A0,BrMat4Scale,geometry,filed,src/core/geometry/br_mat.c
0x1002A7F0,BrMat4Translate,geometry,filed,src/core/geometry/br_mat.c
0x1002A840,BrScratchRingAlloc,drawing,description,src/core/slice2_17.c
0x1002A894,BrScratchRingDrain,drawing,description,src/core/slice2_17.c
0x1002A8C2,BrScratchRingNull,startup,neighbour-1,src/core/startup/br_stubs.c
0x1002A8D7,BrRenderCountersReset,startup,prefix,src/core/slice2_17.c
0x1002A932,BrScreenSizeInit,startup,description,src/core/startup/br_stubs.c
0x1002A93C,BrScreenSizeApply,startup,neighbour-1,src/core/slice2_17.c
0x1002A9F2,BrGuMtxHookNop,drawing,filed,src/core/drawing/br_drawcar.c
0x1002A9F7,BrTexSizeShift,drawing,neighbour,src/core/drawing/br_texfmt.c
0x1002AB32,BrGfxEmitTexCmd,drawing,neighbour,src/core/slice2_17.c
0x1002AB8F,BrNop_1002AB8F,drawing,neighbour,src/core/drawing/br_gfxrect.c
0x1002AB94,BrNop_1002AB94,drawing,neighbour,src/core/drawing/br_gfxrect.c
0x1002AB99,BrGfxClearScreen,drawing,neighbour,src/core/slice2_17.c
0x1002AD39,BrGfxFillRect,drawing,neighbour,src/core/slice2_17.c
0x1002B997,BrFrameBeginDl,drawing,neighbour,src/core/drawing/br_framebegin.c
0x1002BF24,BrFrameBeginRec,drawing,neighbour,src/core/drawing/br_framebegin.c
0x1002BF37,BrFrameBeginHiRes,drawing,neighbour,src/core/drawing/br_framebegin.c
0x1002BF4B,BrNop_1002BF4B,drawing,neighbour,src/core/drawing/br_framebegin.c
0x1002BF50,BrSub_1003289F,drawing,neighbour,src/core/drawing/br_framebegin.c
0x1002C0F3,BrDlRectCmdEmit,drawing,filed,src/core/drawing/br_dl.c
0x1002C2E9,BrDlScreenRectEmit,drawing,filed,src/core/drawing/br_dl.c
0x1002C4A3,BrDlRectCmdFlush,drawing,filed,src/core/drawing/br_dl.c
0x1002C509,BrNop_1002C509,drawing,neighbour,src/core/drawing/br_framebegin.c
0x1002C50E,BrDlBorderEmit,drawing,filed,src/core/drawing/br_dl.c
0x1002CB3F,BrNop_1002CB3F,startup,prefix,src/core/startup/br_stubs.c
0x1002CB44,BrNop_1002CB44,startup,prefix,src/core/startup/br_stubs.c
0x1002CE31,BrPadFrameInit,controls,description,src/core/controls/br_pad.c
0x1002CE5F,BrPadFrameBegin,controls,description,src/core/controls/br_pad.c
0x1002CE9A,BrPadTranslateAll,controls,description,src/core/controls/br_pad.c
0x1002D362,BrCamFrustumBuild,scene,description,src/core/scene/br_camera.c
0x1002D534,BrCamMatrixSetup,drawing,description,src/core/drawing/br_cammatrix.c
0x1002D62F,BrCamMatrixSetupFixed,drawing,neighbour-1,src/core/drawing/br_cammatrix.c
0x1002D72E,BrCamMatrixSetupOrtho,drawing,description,src/core/drawing/br_cammatrix.c
0x1002DB0B,BrDlOwnerFixup,drawing,prefix,src/core/drawing/br_dlrebase.c
0x1002DB88,BrEntGfxRebindAll,scene,description,src/core/scene/br_entity.c
0x1002DD30,BrIdleLoop_1002DD30,racing,description,src/core/racing/br_idleloop.c
0x1002DD9A,BrIdleLoop_1002DD9A,racing,neighbour-1,src/core/racing/br_idleloop.c
0x1002DE04,BrIdleLoop_1002DE04,gamedata,neighbour-1,src/core/gamedata/br_idle.c
0x1002DE6B,BrAccumAddClamp,gamedata,neighbour-1,src/core/gamedata/br_accum.c
0x1002DEC3,FUN_1002dec3,gamedata,description,src/core/gamedata/br_scenepools.c
0x1002E136,BrNop_1002E136,startup,prefix,src/core/startup/br_stubs.c
0x1002E13B,BrReset_1002E13B,racing,description,src/core/racing/br_reset.c
0x1002E2DE,BrNop_1002E2DE,startup,prefix,src/core/startup/br_stubs.c
0x1002E2E3,BrNop_1002E2E3,startup,prefix,src/core/startup/br_stubs.c
0x1002E2E8,BrSet_106E8A1C,startup,neighbour-1,src/core/startup/br_stubs.c
0x1002E2F5,BrSet_106E8698,startup,neighbour-1,src/core/startup/br_stubs.c
0x1002E302,BrGameStepIs,startup,filed,src/core/startup/br_gamestep.c
0x1002E317,BrGameStepSet,startup,filed,src/core/startup/br_gamestep.c
0x1002E324,BrGameStepInvoke,startup,filed,src/core/startup/br_gamestep.c
0x1002E32F,BrNop_1002E32F,startup,filed,src/core/startup/br_gamestep.c
0x1002E334,BrNop_1002E334,startup,filed,src/core/startup/br_gamestep.c
0x1002E339,BrHookTakeA,menus,prefix,src/core/menus/br_hooktake.c
0x1002E359,BrHookTakeB,menus,prefix,src/core/menus/br_hooktake.c
0x1002E5B9,FUN_1002e5b9,drawing,description,src/core/drawing/br_texblit.c
0x1002E6F2,BrPairSlotReset,racing,description,src/core/racing/br_pairslot.c
0x1002E70A,BrRet0_1002E70A,drawing,neighbour-1,src/core/drawing/br_dlrebase.c
0x1002E711,BrDlRebaseWord,drawing,prefix,src/core/drawing/br_dlrebase.c
0x1002E73A,BrDlRebase,drawing,prefix,src/core/drawing/br_dlrebase.c
0x1002E79F,BrCarGfxSetColour,drawing,description,src/core/drawing/br_carcolour.c
0x1002EB03,BrCarGfxReadColour,drawing,description,src/core/drawing/br_carcolour.c
0x1002EBCC,BrNop_1002EBCC,startup,prefix,src/core/startup/br_stubs.c
0x1002EBD1,BrCarSlotLoad,startup,neighbour-1,src/core/startup/br_car.c
0x1002EC2C,BrRet1_1003557B,drawing,neighbour-1,src/core/drawing/br_anim.c
0x1002EC36,BrAnimFlagsApply,drawing,description,src/core/drawing/br_anim.c
0x1002ECAC,BrAnimSetOnce,drawing,neighbour-1,src/core/drawing/br_anim.c
0x1002ECC1,BrAnimSetLoop,drawing,neighbour-1,src/core/drawing/br_anim.c
0x1002ECD6,BrAnimSetPingPong,drawing,neighbour-1,src/core/drawing/br_anim.c
0x1002F238,BrRet1_1002F238,controls,neighbour-1,src/core/controls/br_pad.c
0x1002F242,BrSub_1002F242,controls,neighbour-1,src/core/controls/br_pad.c
0x1002F258,BrLogEmit,drawing,manual,src/core/drawing/br_log.c
0x1002F26B,BrLogSet,drawing,manual,src/core/drawing/br_log.c
0x1002F310,BrVec3Copy,geometry,manual,src/core/geometry/br_vec.c
0x1002F340,BrRgbSinkSet,drawing,manual,src/core/drawing/br_carcolour.c
0x1002F380,BrPadTranslate,controls,description,src/core/controls/br_pad.c
0x1002F660,BrBitEdgeSplit,controls,manual,src/core/controls/br_bitedge.c
0x1002F680,BrEntInit,scene,description,src/core/scene/br_entity.c
0x1002F6C0,BrRaceSub1002F6C0,racing,filed,src/core/racing/br_racestart.c
0x10030270,BrModelLoad,drawing,description,src/core/drawing/br_model.c
0x10030710,BrDevRecMatch,controls,manual,src/core/controls/br_devrec.c
0x10030DE0,BrSub10037740,gamedata,description,src/core/gamedata/br_carload.c
0x10030F40,BrArm_100378A0,startup,filed,src/core/startup/br_objlife.c
0x10030F50,BrFileReadInto,startup,neighbour,src/core/generated/0x10030F50.c
0x10031140,BrTrackLoadHandling,startup,neighbour,src/core/generated/0x10031140.c
0x10031660,BrTrackSetF08FromMax,startup,neighbour,src/core/startup/br_track.c
0x100316A0,BrTrackFixupAllRec54,startup,neighbour,src/core/startup/br_track.c
0x10031910,BrTrackFixupSegList,startup,filed,src/core/startup/br_track.c
0x10031A40,BrTrackSwapRec28,startup,filed,src/core/startup/br_track.c
0x10031A80,BrTrackSwapAllVec3,startup,filed,src/core/startup/br_track.c
0x10031AC0,BrTexCopyRecords,startup,neighbour,src/core/startup/br_track.c
0x100324F0,BrObjLifeInit,startup,filed,src/core/startup/br_objlife.c
0x10032500,BrSub10032500,startup,neighbour,src/core/tiny_stubs.c
0x10032510,BrAtexit_10038EA0,startup,filed,src/core/startup/br_objlife.c
0x10032520,BrSub10032520,startup,neighbour-1,src/core/tiny_stubs.c
0x10032680,BrInit220B20,startup,neighbour-1,src/core/startup/br_track.c
0x10033880,BrPfxUpdateB0,gamedata,neighbour-1,src/core/generated/0x10033880.c
0x10033B50,BrPfxReset,gamedata,description,src/core/gamedata/br_pfx.c
0x10033BB0,BrPfxTick,gamedata,neighbour-1,src/core/generated/0x10033BB0.c
0x10033C90,BrPfxSaveState,audio,neighbour-1,src/core/generated/0x10033C90.c
0x10033CE0,BrSpanExtend,audio,description,src/core/audio/br_span.c
0x10033F90,BrSpanContains,audio,description,src/core/audio/br_span.c
0x10033FD0,BrSpanTestPoint,scene,description,src/core/scene/br_spangrid.c
0x10034340,BrVec3Negate,geometry,filed,src/core/geometry/br_vec.c
0x100343C0,BrVec3Div,geometry,filed,src/core/geometry/br_vec.c
0x100343F0,BrVec3DivBy,geometry,filed,src/core/geometry/br_vec.c
0x10034420,BrVec3Direction,geometry,neighbour,src/core/geometry/br_vec.c
0x100344D0,br_dl_normalise,drawing,filed,src/core/drawing/br_dl.c
0x10034560,BrVec3Sub,geometry,filed,src/core/geometry/br_vec.c
0x10034590,BrVec3SubFrom,geometry,filed,src/core/geometry/br_vec.c
0x100345C0,BrVec3Add,geometry,filed,src/core/geometry/br_vec.c
0x10034620,BrVec3Lerp,geometry,filed,src/core/geometry/br_vec.c
0x100346D0,BrVec3Midpoint,geometry,filed,src/core/geometry/br_vec.c
0x10034710,BrVec3Zero,geometry,filed,src/core/geometry/br_vec.c
0x10034720,BrVec3DistXY,geometry,neighbour,src/core/geometry/br_vec.c
0x10034760,BrVec3Dist,geometry,filed,src/core/geometry/br_vec.c
0x100347B0,BrVec3DistSq,geometry,filed,src/core/geometry/br_vec.c
0x100347F0,BrVec3Length,geometry,filed,src/core/geometry/br_vec.c
0x10034840,BrVec3LenXY,geometry,description,src/core/geometry/br_vec.c
0x100349C0,BrVec3Project,geometry,filed,src/core/geometry/br_mat.c
0x10034AF0,BrMtxMul,geometry,description,src/core/geometry/br_mat.c
0x10034FC0,BrTriContainsPoint,geometry,manual,src/core/geometry/br_tri.c
0x100353C0,BrStore_1003BD40,racing,filed,src/core/racing/br_replayon.c
0x100353D0,BrRandom,startup,description,src/core/startup/br_random.c
0x10035400,FUN_10035400,startup,neighbour-1,src/core/generated/0x10035400.c
0x100355F0,BrExt_1003BF60,startup,neighbour-1,src/core/generated/0x100355F0.c
0x10035660,FUN_10035660,startup,neighbour-1,src/core/generated/0x10035660.c
0x100356B0,FUN_100356b0,startup,neighbour-1,src/core/generated/0x100356B0.c
0x100357E0,BrSub1003C150,startup,neighbour-1,src/core/generated/0x100357E0.c
0x10035870,BrTimerStart,startup,description,src/core/startup/br_timer.c
0x100358C0,BrTimerStart1003C230,net,neighbour-1,src/core/generated/0x100358C0.c
0x100358F0,BrSub1003C260,net,description,src/core/net/br_dplayjoin.c
0x10035BB0,BrComCreateInstance,net,neighbour-1,src/core/net/br_dplayjoin.c
0x10036040,BrSub1003C9B0,menus,manual,src/core/menus/br_uilistwalk.c
0x10036100,BrSlotsResetIfBZero,gamedata,filed,src/core/gamedata/br_slots.c
0x100361A0,FUN_100361a0,gamedata,neighbour-1,src/core/generated/0x100361A0.c
0x10036430,BrSub1003CDA0,net,neighbour-1,src/core/net/br_sessiondesc.c
0x10036650,BrSub1003CFC0,net,description,src/core/net/br_dplaysession.c
0x10036670,BrGlobalFreeAll,net,neighbour-1,src/core/net/br_dplaysession.c
0x100366C0,BrSub1003D030,net,description,src/core/net/br_dplaysession.c
0x10036700,BrSub1003D070,net,neighbour-1,src/core/net/br_sessionlist.c
0x10036740,FUN_10036740,net,neighbour-1,src/core/generated/0x10036740.c
0x100367C0,FUN_100367c0,net,description,src/core/net/br_dplaymsg.c
0x100368A0,FUN_100368a0,net,description,src/core/net/br_dplaymsg.c
0x10036EF0,BrSub1003D850,net,description,src/core/net/br_dplaylobby.c
0x10036F40,FUN_10036f40,net,neighbour-1,src/core/generated/0x10036F40.c
0x10036FF0,BrSub1003D950,net,neighbour-1,src/core/br_netmsg.c
0x10037040,BrSub1003D9A0,net,neighbour-1,src/core/br_netmsg.c
0x10037090,BrSub1003D9F0,net,neighbour-1,src/core/br_netmsg.c
0x100370E0,BrSub1003DA40,net,neighbour-1,src/core/br_netmsg.c
