va,refs,text
0x100ADCCC,1,images\trake.bmp
0x100ADCB8,1,images\ashft.bmp
0x100ADCA4,1,images\carTR.bmp
0x100ADC90,1,images\carCE.bmp
0x100ADC7C,1,images\carCU.bmp
0x100ADC68,1,images\carES.bmp
0x100ADC54,1,images\carFH.bmp
0x100ADC40,1,images\carIP.bmp
0x100AB320,1,DPERR_PENDING
0x100AB30C,1,DPERR_UNSUPPORTED
0x100AB2F8,1,DPERR_NOINTERFACE
0x100ADC2C,1,images\carLD.bmp
0x100AB2E8,1,DPERR_GENERIC
0x100AB2D4,1,DPERR_OUTOFMEMORY
0x100AB2C0,1,DPERR_INVALIDPARAMS
0x100ADC18,1,images\carM3.bmp
0x100AB2A4,1,DPERR_ALREADYINITIALIZED
0x100AB290,1,DPERR_ACCESSDENIED
0x100AB27C,1,DPERR_ACTIVEPLAYERS
0x100AB264,1,DPERR_BUFFERTOOSMALL
0x100ADC04,1,images\carMN.bmp
0x100AB250,1,DPERR_CANTADDPLAYER
0x100AB238,1,DPERR_CANTCREATEGROUP
0x100AB220,1,DPERR_CANTCREATEPLAYER
0x100AB208,1,DPERR_CANTCREATESESSION
0x100ADBF0,1,images\carNS.bmp
0x100AB1EC,1,DPERR_CAPSNOTAVAILABLEYET
0x100AB1DC,1,DPERR_EXCEPTION
0x100ADBDC,1,images\carPJ.bmp
0x100AB1C8,1,DPERR_INVALIDFLAGS
0x100AB1B4,1,DPERR_INVALIDOBJECT
0x100AB1A0,1,DPERR_INVALIDPLAYER
0x100AB18C,1,DPERR_INVALIDGROUP
0x100ADBC8,1,images\carPS.bmp
0x100AB17C,1,DPERR_NOCAPS
0x100AB168,1,DPERR_NOCONNECTION
0x100AB154,1,DPERR_NOMESSAGES
0x100AB13C,1,DPERR_NONAMESERVERFOUND
0x100ADBB4,1,images\carRS.bmp
0x100AB12C,1,DPERR_NOPLAYERS
0x100AB118,1,DPERR_NOSESSIONS
0x100AB104,1,DPERR_SENDTOOBIG
0x100ADBA0,1,images\carSP.bmp
0x100AB0F4,1,DPERR_TIMEOUT
0x100AB0E0,1,DPERR_UNAVAILABLE
0x100AB0D4,1,DPERR_BUSY
0x100ADB8C,1,images\carBB.bmp
0x100AB0C0,1,DPERR_USERCANCEL
0x100AB0A4,1,DPERR_CANNOTCREATESERVER
0x100AB090,1,DPERR_PLAYERLOST
0x100AB07C,1,DPERR_SESSIONLOST
0x100ADB78,1,images\arrowdd.bmp
0x100AB068,1,DPERR_UNINITIALIZED
0x100AB054,1,DPERR_NONEWPLAYERS
0x100AB03C,1,DPERR_INVALIDPASSWORD
0x100AB028,1,DPERR_CONNECTING
0x100ADB64,1,images\arrowdu.bmp
0x100AB010,1,DPERR_BUFFERTOOLARGE
0x100AAFF8,1,DPERR_CANTCREATEPROCESS
0x100AAFE4,1,DPERR_APPNOTSTARTED
0x100ADB50,1,images\arrowud.bmp
0x100AAFCC,1,DPERR_INVALIDINTERFACE
0x100AAFB4,1,DPERR_NOSERVICEPROVIDER
0x100AAF98,1,DPERR_UNKNOWNAPPLICATION
0x100ADB3C,1,images\arrowuu.bmp
0x100AAF84,1,DPERR_NOTLOBBIED
0x100AAF68,1,DPERR_SERVICEPROVIDERLOADED
0x100AAF50,1,DPERR_ALREADYREGISTERED
0x100AAF3C,1,DPERR_NOTREGISTERED
0x100ADB28,1,images\joystk.bmp
0x100AAF20,1,DPERR_AUTHENTICATIONFAILED
0x100AAF0C,1,DPERR_CANTLOADSSPI
0x100AAEF4,1,DPERR_ENCRYPTIONFAILED
0x100AAEE0,1,DPERR_SIGNFAILED
0x100ADB14,1,images\keybd.bmp
0x100AAEC0,1,DPERR_CANTLOADSECURITYPACKAGE
0x100AAEA0,1,DPERR_ENCRYPTIONNOTSUPPORTED
0x100AAE8C,1,DPERR_CANTLOADCAPI
0x100AAE78,1,DPERR_NOTLOGGEDIN
0x100ADB00,1,images\steerinp.bmp
0x100AAE70,1,0x%08X
0x100AAE68,1,DP_OK
0x100AAE54,1,DPERR_LOGONDENIED
0x100ADAEC,1,images\type_yel.bmp
0x100ADAD8,1,images\steerarr.bmp
0x100ADAC4,1,images\steeradj.bmp
0x100ADAB4,1,images\spkr.bmp
0x100ADAA0,1,images\monitr.bmp
0x100ADA8C,1,images\namebar.bmp
0x100ADA78,1,images\slidebox.bmp
0x100AD2F8,1,%C:\
0x100ADA64,1,images\boxtile2.bmp
0x100ADA50,1,images\rboxend.bmp
0x100ADA3C,1,images\lboxend.bmp
0x100ADA28,1,images\trakc_.bmp
0x100ADA14,1,images\trakd_.bmp
0x100ADA00,1,images\trake_.bmp
0x100AD9EC,1,images\desrttr_.bmp
0x100AD9D8,1,images\coasttr_.bmp
0x100AD9C4,1,images\mpmodem.bmp
0x100AD9B0,1,images\mptcpip.bmp
0x100AD99C,1,images\mpipx.bmp
0x100AD988,1,images\mpserial.bmp
0x100AD974,1,images\seasn2a.bmp
0x100AD960,1,images\seasn2b.bmp
0x100AD94C,1,images\seasn3a.bmp
0x100AD938,1,images\seasn3b.bmp
0x100AD924,1,images\seasn4a.bmp
0x100AD910,1,images\seasn4b.bmp
0x100AD8FC,1,images\seasn5a.bmp
0x100AD8E8,1,images\bgdim.bmp
0x100AD8D4,1,images\congrat.bmp
0x100AD8C0,1,images\noadv1.bmp
0x100AD8AC,1,images\noadv2.bmp
0x100AD898,1,images\but-main.bmp
0x100AD880,1,images\but-maind.bmp
0x100AD86C,1,images\but-op.bmp
0x100AD858,1,images\but-opd.bmp
0x100AD844,1,images\cars1a.bmp
0x100AD830,1,images\cars2a.bmp
0x100AD81C,1,images\cars2b.bmp
0x100AD808,1,images\cars3a.bmp
0x100AD7F4,1,images\cars3b.bmp
0x100AD7E0,1,images\cars4a.bmp
0x100AD7CC,1,images\cars4b.bmp
0x100AD7B8,1,images\cars5a.bmp
0x100AD7A4,1,images\cars5b.bmp
0x100AD790,1,images\chatbar2.bmp
0x100AD77C,1,images\mousinpt.bmp
0x100AD768,1,images\ffstick.bmp
0x100AD750,1,images\carwnoshad2.bmp
0x100AD738,1,images\carwshad2.bmp
0x100AD724,1,images\specoff.bmp
0x100AD710,1,images\specon.bmp
0x100AD6FC,1,images\noffstik.bmp
0x100AD6E8,1,images\listbox.bmp
0x100AD6D4,1,images\engsound.bmp
0x100AD6C0,1,images\music.bmp
0x100AD6AC,1,images\soundtik.bmp
0x100AD698,1,images\soundptr.bmp
0x100AD684,1,images\trrwd.bmp
0x100AD670,1,images\pjrwd.bmp
0x100AD65C,1,images\mnrwd.bmp
0x100AD648,1,images\mirrwd.bmp
0x100AD634,1,images\bbrwd.bmp
0x100AD620,1,images\curwd.bmp
0x100AD60C,1,images\fbrwd.bmp
0x100AD5F8,1,images\mtrwd.bmp
0x100AD5E4,1,images\sndlevl2.bmp
0x100AD5D0,1,images\sndlevl3.bmp
0x100AD5B8,1,images\trakraceb.bmp
0x100AD5A0,1,images\trakracel.bmp
0x100AD58C,1,images\but-sav.bmp
0x100AD578,1,images\but-savd.bmp
0x100AD564,1,images\z-carMT.bmp
0x100AD550,1,images\z-carTR.bmp
0x100AD53C,1,images\z-carCE.bmp
0x100AD528,1,images\z-carCU.bmp
0x100AD514,1,images\z-carES.bmp
0x100AD500,1,images\z-carFH.bmp
0x100AD4EC,1,images\z-carIP.bmp
0x100AD4D8,1,images\z-carLD.bmp
0x100AD4C4,1,images\z-carM3.bmp
0x100AD4B0,1,images\z-carMN.bmp
0x100AD49C,1,images\z-carNS.bmp
0x100AD488,1,images\z-carPJ.bmp
0x100AD474,1,images\z-carPS.bmp
0x100AD460,1,images\z-carRS.bmp
0x100AD44C,1,images\z-carSP.bmp
0x100AD438,1,images\z-carBB.bmp
0x100AD424,1,images\lightr.bmp
0x100AD410,1,images\lightg.bmp
0x100AD3FC,1,images\tire2on.bmp
0x100AD3E8,1,images\tire2off.bmp
0x100AD3D4,1,images\listbox2.bmp
0x100AD3C0,1,images\trakQ.bmp
0x100AD3AC,1,images\trakQ_.bmp
0x100AD398,1,c:\RallySeason.dat
0x100AD384,1,c:\RallyGhost.dat
0x100ADF44,1,images\loading.bmp
0x100ADF18,1,DDraw_DoInit: loading.bmp failed to load!
0x100ADEF0,1,DDraw_DoInit: Bitmap %d failed to load!
0x100914B0,1,kernel32.dll
0x100914A8,1,IsTNT
