d3d_addr,glide_addr,votes
0x100943B4,0x1007B384,1
0x100945D4,0x1007B52C,1
0x100945F4,0x1007B54C,1
0x1009462C,0x1007B584,2
0x100A6498,0x100A5C58,1
0x100A649C,0x100A5C5C,1
0x100A64A0,0x100A5C60,1
0x100A65E8,0x100A5DA8,1
0x100A66E8,0x100A5EA8,2
0x100A66EC,0x100A5EAC,1
0x100A66F0,0x100A5EB0,2
0x100A66FC,0x100A5EBC,2
0x100A73A8,0x100A6B68,2
0x100A73C0,0x100A6B80,1
0x100A74A8,0x100A6C68,1
0x100A74AC,0x100A6C6C,1
0x100A74B0,0x100A6C70,1
0x100A79C8,0x100A7188,9
0x100A79CC,0x100A718C,7
0x100A79DC,0x100A9A50,10
0x100A79F0,0x100A9A58,1
0x100A7DF0,0x100A9E58,1
0x100A7E3C,0x100A7190,1
0x100A7E5C,0x100A71B0,1
0x100A7E74,0x100A71C8,1
0x100A7E90,0x100A71E4,1
0x100A7EA8,0x100A71FC,1
0x100A7EC0,0x100A7214,1
0x100A7EDC,0x100A7230,1
0x100A7EF8,0x100A724C,1
0x100A7F14,0x100A7268,1
0x100A7F34,0x100A7288,1
0x100A7F4C,0x100A72A0,1
0x100A7F68,0x100A72BC,1
0x100A7F80,0x100A72D4,1
0x100A7F9C,0x100A72F0,1
0x100A7FBC,0x100A7310,1
0x100A7FDC,0x100A7330,1
0x100A7FF0,0x100A7344,1
0x100A800C,0x100A7360,1
0x100A8028,0x100A737C,1
0x100A8048,0x100A739C,1
0x100A8064,0x100A73B8,1
0x100A807C,0x100A73D0,1
0x100A8094,0x100A73E8,1
0x100A80A8,0x100A73FC,1
0x100A80C4,0x100A7418,1
0x100A80DC,0x100A7430,1
0x100A80F4,0x100A7448,1
0x100A8110,0x100A7464,1
0x100A8128,0x100A747C,1
0x100A8140,0x100A7494,1
0x100A8160,0x100A74B4,1
0x100A8178,0x100A74CC,1
0x100A8190,0x100A74E4,1
0x100A819C,0x100A74F0,3
0x100A81AC,0x100A7500,4
0x100A81B0,0x100A7504,7
0x100A81B4,0x100A7508,4
0x100A81B8,0x100A750C,7
0x100A81BC,0x100A7510,5
0x100A81C0,0x100A7514,9
0x100A81C4,0x100A7518,9
0x100A81C8,0x100A751C,3
0x100AA010,0x100A9360,62
0x100AA210,0x100A9560,2
0x100AA594,0x100A98E4,1
0x100AA5A8,0x100A98F8,1
0x100AA5B0,0x100A9900,1
0x100AA5E0,0x100A9940,1
0x100AA5FC,0x100A995C,1
0x100AA618,0x100A9978,1
0x100AA630,0x100A9990,1
0x100AA648,0x100A99A8,1
0x100AA668,0x100A99C8,1
0x100AA67C,0x100A99DC,1
0x100AA688,0x100A99E8,2
0x100AA6B0,0x100A9A10,2
0x100AA6C4,0x100A9A24,2
0x100AA6E4,0x100A9A44,2
0x100AA728,0x100A9EB8,1
0x100AA72C,0x100A9EBC,1
0x100AA730,0x100A9EC0,2
0x100AA770,0x100A9F00,1
0x100AA838,0x100A9FC8,1
0x100AA860,0x100A9FF0,1
0x100AA868,0x100A9FF8,1
0x100AA87C,0x100AA00C,1
0x100AA884,0x100AA014,1
0x100AA890,0x100AA020,1
0x100AA8A0,0x100AA030,2
0x100AA8B4,0x100AA044,17
