d3d_va,glide_va,size,class,matched_by
0x1008E7EC,0x100750B0,11,shared,body
0x1008E7F7,0x10074B3B,10,shared,body
0x1008E810,0x100750B0,11,shared,body
0x1008E81B,0x100750B0,11,shared,body
0x1008E826,0x100750B0,11,shared,body
0x1008E831,0x100750B0,11,shared,body
0x1008E83C,0x100750B0,11,shared,body
0x1008E847,0x100750B0,11,shared,body
0x1008E852,0x100750B0,11,shared,body
0x1008E85D,0x100750B0,11,shared,body
0x1008E868,0x100750B0,11,shared,body
0x1008E873,0x100750B0,11,shared,body
0x1008E87E,0x100750B0,11,shared,body
0x1008E889,0x100750B0,11,shared,body
0x1008E894,0x100750B0,11,shared,body
0x1008E89F,0x100750B0,11,shared,body
0x1008E8AA,0x100750B0,11,shared,body
0x1008E8B5,0x100750B0,11,shared,body
0x1008E8C0,0x100750B0,11,shared,body
0x1008E8CB,0x100750B0,11,shared,body
0x1008E8D6,0x10074B3B,10,shared,body
0x1008E8E0,0x10074C10,11,shared,body
0x1008E8EB,0x10074C10,11,shared,body
0x1008E8F6,0x10074C10,11,shared,body
0x1008E901,0x10074C10,11,shared,body
0x1008E90C,0x10074C10,11,shared,body
0x1008E917,0x10074C10,11,shared,body
0x1008E922,0x10074C10,11,shared,body
0x1008E92D,0x100750B0,11,shared,body
0x1008E938,0x100750B0,11,shared,body
0x1008E943,0x10074B3B,10,shared,body
0x1008E950,0x10074C10,11,shared,body
0x1008E95B,0x10074C10,11,shared,body
0x1008E966,0x10074C10,11,shared,body
0x1008E971,0x10074C10,11,shared,body
0x1008E97C,0x10074C10,11,shared,body
0x1008E987,0x10074C10,11,shared,body
0x1008E992,0x10074C10,11,shared,body
0x1008E99D,0x100750B0,11,shared,body
0x1008E9A8,0x100750B0,11,shared,body
0x1008E9B3,0x10074B3B,10,shared,body
0x1008E9C0,0x100750B0,11,shared,body
0x1008E9CB,0x100750B0,11,shared,body
0x1008E9D6,0x100750B0,11,shared,body
0x1008E9E1,0x100750B0,11,shared,body
0x1008E9EC,0x100750B0,11,shared,body
0x1008E9F7,0x100750B0,11,shared,body
0x1008EA02,0x100750B0,11,shared,body
0x1008EA0D,0x100750B0,11,shared,body
0x1008EA18,0x100750B0,11,shared,body
0x1008EA23,0x10074B3B,10,shared,body
0x1008EA30,0x10074C10,11,shared,body
0x1008EA3B,0x10074C10,11,shared,body
0x1008EA46,0x10074C10,11,shared,body
0x1008EA51,0x10074C10,11,shared,body
0x1008EA5C,0x10074C10,11,shared,body
0x1008EA67,0x10074C10,11,shared,body
0x1008EA72,0x10074C10,11,shared,body
0x1008EA7D,0x100750B0,11,shared,body
0x1008EA88,0x100750B0,11,shared,body
