va,size,pattern,detail
0x10028630,235,branching,68 insns
0x10028720,320,no-ret,
0x10028BF0,124,calls-out,52 insns
0x10028C70,39,branching,15 insns
0x100290E0,476,branching,136 insns
0x10029410,92,branching,23 insns
0x10029E60,19,branching,6 insns
0x10029E80,33,other,10 insns
0x10029EB0,83,branching,24 insns
0x10029F10,109,branching,34 insns
0x10029F80,20,branching,4 insns
0x10029FA0,94,branching,27 insns
0x1002A000,25,branching,7 insns
0x1002A020,26,branching,7 insns
0x1002A040,244,branching,67 insns
0x1002A140,91,other,21 insns
0x1002A1A0,107,branching,29 insns
0x1002A210,55,branching,17 insns
0x1002A250,47,branching,12 insns
0x1002A280,196,branching,71 insns
0x1002A740,91,branching,33 insns
0x1002A8A0,1306,branching,406 insns
0x1002AEA0,25,branching,7 insns
0x1002AEC0,39,branching,17 insns
0x1002AF10,529,x87-math,143 insns
0x1002B130,142,x87-math,36 insns
0x1002B1C0,93,x87-math,22 insns
0x1002B220,93,x87-math,22 insns
0x1002B280,18,field-writes,4 stores
0x1002B2A0,37,x87-math,12 insns
0x1002B2D0,37,x87-math,12 insns
0x1002B300,56,x87-math,17 insns
0x1002B340,803,x87-math,222 insns
0x1002B670,685,x87-math,165 insns
0x1002B930,20,other,9 insns
0x1002B970,43,branching,17 insns
0x1002B9A0,25,calls-out,6 insns
0x1002B9C0,13,other,4 insns
0x1002B9E0,29,branching,12 insns
0x1002BA00,32,branching,15 insns
0x1002BA20,51,other,18 insns
0x1002BA60,32,branching,15 insns
0x1002BA80,32,branching,15 insns
0x1002BAA0,493,branching,165 insns
0x1002BC90,180,branching,71 insns
0x1002BD50,114,branching,51 insns
0x1002BDD0,89,branching,32 insns
0x1002BE30,203,x87-math,55 insns
0x1002BF00,58,branching,14 insns
0x1002BF40,60,branching,27 insns
0x1002C150,61,calls-out,24 insns
0x1002C190,29,other,11 insns
0x1002C1B0,51,other,20 insns
0x1002C1F0,30,branching,8 insns
0x1002C210,117,branching,33 insns
0x1002C2A0,30,branching,12 insns
0x1002C2D0,71,branching,20 insns
0x1002C320,98,branching,27 insns
0x1002C390,34,calls-out,6 insns
0x1002C410,31,branching,12 insns
0x1002C430,106,x87-math,33 insns
0x1002C4A0,44,branching,17 insns
0x1002C4D0,35,no-ret,
0x1002F130,251,calls-out,86 insns
0x1002F230,112,branching,39 insns
0x1002F2A0,128,branching,40 insns
0x1002F320,312,branching,96 insns
0x1002F460,96,branching,30 insns
0x1002F900,440,calls-out,146 insns
0x1002FAC0,43,branching,16 insns
0x1002FAF0,33,branching,12 insns
0x1002FB20,1768,branching,431 insns
0x10030210,924,branching,314 insns
0x100305B0,55,x87-math,21 insns
0x100305F0,16,x87-math,6 insns
0x10030600,55,x87-math,22 insns
0x10030640,37,x87-math,15 insns
0x10030670,65,x87-math,25 insns
0x100306C0,224,x87-math,91 insns
0x100307A0,47,branching,23 insns
0x100307D0,59,other,20 insns
0x10030810,287,x87-math,91 insns
0x10030930,106,x87-math,37 insns
0x100309A0,427,x87-math,140 insns
0x10030B50,645,x87-math,202 insns
0x10030DE0,56,x87-math,15 insns
0x10030E20,186,x87-math,64 insns
0x10030EE0,514,x87-math,132 insns
0x100310F0,70,x87-math,22 insns
0x10031140,71,other,23 insns
0x10031190,151,branching,49 insns
0x10031227,91,other,17 insns
0x10031282,10,calls-out,5 insns
0x1003128C,27,other,8 insns
0x100312A7,20,no-ret,
0x100312BB,135,x87-math,50 insns
