vram,size,module,how,name,status,pc_va,source
80226D7C,32,gamedata,confirmed,BrOperatorDelete,EXACT,,src/core/gamedata/br_crt.c
80226D9C,1144,,,,,,
80227214,1048,,,,,,
8022762C,4744,,,,,,
802288B4,32,unfiled,confirmed,BrThunk11D10,EXACT,,src/core/slice2_14.c
802288D4,360,,,,,,
80228A3C,48,,,,,,
80228A6C,984,,,,,,
80228E44,8,,,,,,
80228E4C,632,,,,,,
802290C4,308,,,,,,
802291F8,792,,,,,,
80229510,32,,,,,,
80229530,24,driving,confirmed,BrCollRespFrameMat,SHAPE,,src/core/driving/br_collresp.c
80229548,8,,,,,,
80229550,432,,,,,,
80229700,2528,,,,,,
8022A0E0,3308,,,,,,
8022ADCC,164,unfiled,confirmed,BrVarSave,SHAPE,,src/core/slice3_41.c
8022AE70,104,unfiled,confirmed,BrVarLoad,SHAPE,,src/core/slice3_41.c
8022AED8,48,startup,confirmed,BrWrap_10067940,SHAPE,,src/core/startup/br_objlife.c
8022AF08,44,unfiled,confirmed,BrUiHook84Reset,SHAPE,,src/core/slice8_84.c
8022AF34,48,unfiled,confirmed,BrUiHook81Activate_10045BC0,SHAPE,,src/core/slice7_81.c
8022AF64,44,unfiled,confirmed,BrCtrlCfgInitGlobal,SHAPE,,src/core/slice3_42.c
8022AF90,360,,,,,,
8022B0F8,220,,,,,,
8022B1D4,412,,,,,,
8022B370,84,audio,confirmed,BrSfxSrcTrigger,SHAPE,,src/core/audio/br_sfxsrc.c
8022B3C4,32,audio,confirmed,BrSfxSrcBeep,EXACT,,src/core/audio/br_sfxsrc.c
8022B3E4,32,audio,confirmed,BrSfxSrcBeep2,EXACT,,src/core/audio/br_sfxsrc.c
8022B404,36,unfiled,confirmed,BrSndNearestInvalidate,SHAPE,,src/core/slice3_41.c
8022B428,108,unfiled,confirmed,BrSndNearestReset,SHAPE,,src/core/slice3_41.c
8022B494,160,,,,,,
8022B534,1056,,,,,,
8022B954,188,,,,,,
8022BA10,136,unfiled,confirmed,BrSndNearestOfferDefault,SHAPE,,src/core/slice3_41.c
8022BA98,8,,,,,,
8022BAA0,524,,,,,,
8022BCAC,8,,,,,,
8022BCB4,3400,,,,,,
8022C9FC,1420,,,,,,
8022CF88,264,,,,,,
8022D090,116,,,,,,
8022D104,720,,,,,,
8022D3D4,104,,,,,,
8022D43C,96,,,,,,
8022D49C,836,,,,,,
8022D7E0,204,,,,,,
8022D8AC,208,,,,,,
8022D97C,2916,,,,,,
8022E4E0,4076,,,,,,
8022F4CC,16,drawing,confirmed,BrSet_10019270,SHAPE,,src/core/drawing/br_textmode.c
8022F4DC,16,unfiled,confirmed,BrMenuClearAA28A8,SHAPE,,src/core/slice2_24.c
8022F4EC,12,unfiled,confirmed,SetCommentChar,SHAPE,,src/exe/brally/0x004016C0.c
8022F4F8,12,drawing,confirmed,BrClear_10019250,SHAPE,,src/core/drawing/br_textmode.c
8022F504,16,unfiled,confirmed,BrSub_10019290,SHAPE,,src/core/slice5_61.c
8022F514,12,unfiled,confirmed,BrSub_10019260,SHAPE,,src/core/slice5_63.c
8022F520,16,unfiled,confirmed,BrSub_10019240,SHAPE,,src/core/slice6_78.c
8022F530,72,unfiled,confirmed,BrTextSetColors,SHAPE,,src/core/slice1_03.c
8022F578,88,,,,,,
8022F5D0,12,startup,confirmed,BrMainLoopSetSuspended,SHAPE,,src/core/startup/br_mainloop.c
8022F5DC,184,,,,,,
8022F694,140,,,,,,
8022F720,480,,,,,,
8022F900,104,,,,,,
8022F968,1416,,,,,,
8022FEF0,196,,,,,,
8022FFB4,1056,,,,,,
802303D4,384,,,,,,
80230554,10624,,,,,,
80232ED4,1472,,,,,,
80233494,468,,,,,,
80233668,120,,,,,,
802336E0,416,,,,,,
80233880,1424,,,,,,
80233E10,460,,,,,,
80233FDC,116,,,,,,
80234050,3952,,,,,,
80234FC0,28,,,,,,
80234FDC,20,menus,confirmed,BrUiCtlSpriteDown,SHAPE,,src/core/menus/br_uispr.c
80234FF0,8,,,,,,
80234FF8,2996,,,,,,
80235BAC,7636,,,,,,
80237980,3468,,,,,,
8023870C,8,,,,,,
80238714,248,unfiled,confirmed,BrHudDrawTimeEntry,SHAPE,,src/core/slice1_03.c
8023880C,684,,,,,,
80238AB8,796,,,,,,
80238DD4,348,,,,,,
80238F30,752,,,,,,
80239220,1328,,,,,,
80239750,1440,,,,,,
80239CF0,148,unfiled,confirmed,BrWeatherRandomiseParticles,SHAPE,,src/core/slice2_15.c
80239D84,420,,,,,,
80239F28,404,,,,,,
8023A0BC,260,,,,,,
8023A1C0,8,,,,,,
8023A1C8,1468,,,,,,
8023A784,2476,,,,,,
8023B130,72,,,,,,
8023B178,672,,,,,,
8023B418,1848,,,,,,
8023BB50,1040,,,,,,
8023BF60,2208,,,,,,
8023C800,1020,,,,,,
8023CBFC,356,,,,,,
8023CD60,464,,,,,,
8023CF30,148,,,,,,
8023CFC4,368,,,,,,
8023D134,1504,,,,,,
8023D714,1196,,,,,,
8023DBC0,832,,,,,,
8023DF00,76,drawing,confirmed,BrDlCmdFogColour,SHAPE,,src/core/drawing/br_dlcmd.c
8023DF4C,80,settings,confirmed,BrBrfChecksum,SHAPE,,src/core/settings/br_save.c
8023DF9C,3604,,,,,,
8023EDB0,212,,,,,,
8023EE84,200,,,,,,
8023EF4C,3980,,,,,,
8023FED8,92,unfiled,confirmed,BrDevSlotReleaseIface,SHAPE,,src/core/slice3_39.c
8023FF34,76,unfiled,confirmed,BrBitStreamSkipBytes,SHAPE,,src/core/slice1_09.c
8023FF80,112,,,,,,
8023FFF0,128,,,,,,
80240070,464,,,,,,
80240240,44,audio,confirmed,BrWrap_10072A70,SHAPE,,src/core/audio/br_musiccmd.c
8024026C,1444,,,,,,
80240810,216,,,,,,
802408E8,328,,,,,,
80240A30,1712,,,,,,
802410E0,160,drawing,confirmed,BrFontDrawString,SHAPE,,src/core/drawing/br_font.c
80241180,364,,,,,,
802412EC,40,unfiled,confirmed,BrDPlaySpSelectedGuid,SHAPE,,src/core/slice2_22.c
80241314,504,,,,,,
8024150C,132,,,,,,
80241590,112,,,,,,
80241600,2440,,,,,,
80241F88,56,unfiled,confirmed,BrPhaseDispatch_100450F0,SHAPE,,src/core/slice2_26.c
80241FC0,1232,,,,,,
80242490,432,,,,,,
80242640,28,,,,,,
8024265C,436,,,,,,
80242810,12,unfiled,confirmed,BrGbiMtxSlot,SHAPE,,src/core/slice2_16.c
8024281C,100,,,,,,
80242880,16,audio,confirmed,BrWrap_10072B80,SHAPE,,src/core/audio/br_musiccmd.c
80242890,176,,,,,,
80242940,20,racing,confirmed,BrRaceSub1002F6C0,SHAPE,,src/core/racing/br_racestart.c
80242954,12,racing,confirmed,BrDelta_100713A0,SHAPE,,src/core/racing/br_replayon.c
80242960,12,,,,,,
8024296C,128,,,,,,
802429EC,144,,,,,,
80242A7C,148,,,,,,
80242B10,204,,,,,,
80242BDC,1668,,,,,,
80243260,6472,,,,,,
80244BA8,256,,,,,,
80244CA8,92,,,,,,
80244D04,128,,,,,,
80244D84,1772,,,,,,
80245470,404,,,,,,
80245604,404,,,,,,
80245798,436,,,,,,
8024594C,436,,,,,,
80245B00,2800,,,,,,
802465F0,1168,,,,,,
80246A80,332,,,,,,
80246BCC,580,,,,,,
80246E10,384,,,,,,
80246F90,2940,,,,,,
80247B0C,2352,,,,,,
8024843C,1860,,,,,,
80248B80,564,,,,,,
80248DB4,388,,,,,,
80248F38,80,unfiled,confirmed,BrPhaseActivate_10046170,SHAPE,,src/core/slice3_31.c
80248F88,7400,,,,,,
8024AC70,1236,,,,,,
8024B144,3380,,,,,,
8024BE78,780,,,,,,
8024C184,4592,,,,,,
8024D374,112,,,,,,
8024D3E4,12,,,,,,
8024D3F0,96,,,,,,
8024D450,12,,,,,,
8024D45C,96,,,,,,
8024D4BC,12,,,,,,
8024D4C8,104,,,,,,
8024D530,12,,,,,,
8024D53C,380,,,,,,
8024D6B8,288,,,,,,
8024D7D8,80,,,,,,
8024D828,28,,,,,,
8024D844,68,,,,,,
8024D888,20,,,,,,
8024D89C,1028,,,,,,
8024DCA0,1160,,,,,,
8024E128,2824,,,,,,
8024EC30,976,,,,,,
8024F000,604,,,,,,
8024F25C,156,,,,,,
8024F2F8,32,,,,,,
8024F318,96,,,,,,
8024F378,36,,,,,,
8024F39C,1080,,,,,,
8024F7D4,248,,,,,,
8024F8CC,764,,,,,,
8024FBC8,752,,,,,,
8024FEB8,2016,,,,,,
80250698,1216,,,,,,
80250B58,1140,,,,,,
80250FCC,1488,,,,,,
8025159C,536,,,,,,
802517B4,672,,,,,,
80251A54,640,,,,,,
80251CD4,660,,,,,,
80251F68,1124,,,,,,
802523CC,1324,,,,,,
802528F8,932,,,,,,
80252C9C,692,,,,,,
80252F50,20,unfiled,confirmed,BrSwap2,SHAPE,,src/core/slice2_20.c
80252F64,604,,,,,,
802531C0,564,,,,,,
802533F4,108,,,,,,
80253460,124,,,,,,
802534DC,4420,,,,,,
80254620,592,,,,,,
80254870,8,,,,,,
80254878,1236,,,,,,
80254D4C,68,,,,,,
80254D90,172,,,,,,
80254E3C,240,,,,,,
80254F2C,20,,,,,,
80254F40,24,startup,confirmed,BrBootFrontier_10009C00,SHAPE,,src/core/startup/br_bootfrontier.c
80254F58,24,startup,inferred,,,,
80254F70,24,startup,inferred,,,,
80254F88,24,startup,inferred,,,,
80254FA0,24,startup,inferred,,,,
80254FB8,24,startup,inferred,,,,
80254FD0,24,startup,inferred,,,,
80254FE8,24,startup,inferred,,,,
80255000,24,startup,inferred,,,,
80255018,24,startup,confirmed,BrBootFrontier_10032530,SHAPE,,src/core/startup/br_bootfrontier.c
80255030,24,startup,confirmed,BrBootFrontier_10056260,SHAPE,,src/core/startup/br_bootfrontier.c
80255048,216,,,,,,
80255120,2032,,,,,,
80255910,36,geometry,confirmed,BrBitLatchTake,SHAPE,,src/core/geometry/br_bits.c
80255934,32,unfiled,confirmed,BrBitEdgeSplit,SHAPE,,src/core/slice2_19.c
80255954,52,,,,,,
80255988,52,unfiled,confirmed,BrUiHook84_10046FC0,SHAPE,,src/core/slice8_84.c
802559BC,40,unfiled,confirmed,BrBitStreamResetRead,SHAPE,,src/core/slice6_74.c
802559E4,52,,,,,,
80255A18,52,,,,,,
80255A4C,52,,,,,,
80255A80,40,,,,,,
80255AA8,52,,,,,,
80255ADC,120,,,,,,
80255B54,76,unfiled,confirmed,BrEntInit,SHAPE,,src/core/slice1_05.c
80255BA0,176,unfiled,confirmed,BrNodeMarkPass,SHAPE,,src/core/slice3_40.c
80255C50,80,unfiled,confirmed,BrNodeClearMarkPass,SHAPE,,src/core/slice3_40.c
80255CA0,48,unfiled,confirmed,BrNodeRunMarkPass,SHAPE,,src/core/slice3_40.c
80255CD0,80,,,,,,
80255D20,44,unfiled,confirmed,PushInclude,SHAPE,,src/exe/brally/0x00401670.c
80255D4C,88,,,,,,
80255DA4,52,,,,,,
80255DD8,88,,,,,,
80255E30,52,,,,,,
80255E64,28,gamedata,confirmed,BrStrResResetForTest,SHAPE,,src/core/gamedata/br_strres.c
80255E80,604,,,,,,
802560DC,204,,,,,,
802561A8,60,,,,,,
802561E4,68,,,,,,
80256228,72,audio,confirmed,BrMixCreate,SHAPE,,src/core/audio/br_mix.c
80256270,32,,,,,,
80256290,80,,,,,,
802562E0,16,,,,,,
802562F0,428,,,,,,
8025649C,240,,,,,,
8025658C,404,,,,,,
80256720,1292,,,,,,
80256C2C,272,,,,,,
80256D3C,176,,,,,,
80256DEC,960,,,,,,
802571AC,112,,,,,,
8025721C,936,,,,,,
802575C4,816,,,,,,
802578F4,112,,,,,,
80257964,144,,,,,,
802579F4,40,unfiled,confirmed,BrPhaseGoto_10046F50,SHAPE,,src/core/slice3_31.c
